Species,BodyWt,BrainWt,SlowWave,Dreaming,TotalSleep,LifeSpan,Gestation,Predation,SleepExposure,OverallDanger,LnBodyWt,LnBrainWt
Africanelephant,6654,5712,NA,NA,3.3,38.6,645,3,5,3,8.802973457,8.650324504
Africangiantpouchedrat,1,6.6,6.3,2,8.3,4.5,42,3,1,3,0,1.887069649
ArcticFox,3.385,44.5,NA,NA,12.5,14,60,1,1,1,1.219353906,3.795489189
Arcticgroundsquirrel,0.92,5.7,NA,NA,16.5,NA,25,5,2,3,-0.083381609,1.740466175
Asianelephant,2547,4603,2.1,1.8,3.9,69,624,3,5,4,7.842671475,8.434463544
Baboon,10.55,179.5,9.1,0.7,9.8,27,180,4,4,4,2.35612586,5.190175208
Bigbrownbat,0.023,0.3,15.8,3.9,19.7,19,35,1,1,1,-3.772261063,-1.203972804
Braziliantapir,160,169,5.2,1,6.2,30.4,392,4,5,4,5.075173815,5.129898715
Cat,3.3,25.6,10.9,3.6,14.5,28,63,1,2,1,1.193922468,3.242592351
Chimpanzee,52.16,440,8.3,1.4,9.7,50,230,1,1,1,3.954315918,6.086774727
Chinchilla,0.425,6.4,11,1.5,12.5,7,112,5,4,4,-0.85566611,1.85629799
Cow,465,423,3.2,0.7,3.9,30,281,5,5,5,6.142037406,6.047372179
Deserthedgehog,0.55,2.4,7.6,2.7,10.3,NA,NA,2,1,2,-0.597837001,0.875468737
Donkey,187.1,419,NA,NA,3.1,40,365,5,5,5,5.231643233,6.03787092
EasternAmericanmole,0.075,1.2,6.3,2.1,8.4,3.5,42,1,1,1,-2.590267165,0.182321557
Echidna,3,25,8.6,0,8.6,50,28,2,2,2,1.098612289,3.218875825
Europeanhedgehog,0.785,3.5,6.6,4.1,10.7,6,42,2,2,2,-0.242071561,1.252762968
Galago,0.2,5,9.5,1.2,10.7,10.4,120,2,2,2,-1.609437912,1.609437912
Genet,1.41,17.5,4.8,1.3,6.1,34,NA,1,2,1,0.343589704,2.862200881
Giantarmadillo,60,81,12,6.1,18.1,7,NA,1,1,1,4.094344562,4.394449155
Giraffe,529,680,NA,0.3,NA,28,400,5,5,5,6.270988432,6.522092798
Goat,27.66,115,3.3,0.5,3.8,20,148,5,5,5,3.319987326,4.744932128
Goldenhamster,0.12,1,11,3.4,14.4,3.9,16,3,1,2,-2.120263536,0
Gorilla,207,406,NA,NA,12,39.3,252,1,4,1,5.332718793,6.00635316
Grayseal,85,325,4.7,1.5,6.2,41,310,1,3,1,4.442651256,5.783825182
Graywolf,36.33,119.5,NA,NA,13,16.2,63,1,1,1,3.592643846,4.783316371
Groundsquirrel,0.101,4,10.4,3.4,13.8,9,28,5,1,3,-2.292634762,1.386294361
Guineapig,1.04,5.5,7.4,0.8,8.2,7.6,68,5,3,4,0.039220713,1.704748092
Horse,521,655,2.1,0.8,2.9,46,336,5,5,5,6.255750042,6.484635236
Jaguar,100,157,NA,NA,10.8,22.4,100,1,1,1,4.605170186,5.056245805
Kangaroo,35,56,NA,NA,NA,16.3,33,3,5,4,3.555348061,4.025351691
Lessershort-tailedshrew,0.005,0.14,7.7,1.4,9.1,2.6,21.5,5,2,4,-5.298317367,-1.966112856
Littlebrownbat,0.01,0.25,17.9,2,19.9,24,50,1,1,1,-4.605170186,-1.386294361
Man,62,1320,6.1,1.9,8,100,267,1,1,1,4.127134385,7.185387016
Molerat,0.122,3,8.2,2.4,10.6,NA,30,2,1,1,-2.103734234,1.098612289
Mountainbeaver,1.35,8.1,8.4,2.8,11.2,NA,45,3,1,3,0.300104592,2.091864062
Mouse,0.023,0.4,11.9,1.3,13.2,3.2,19,4,1,3,-3.772261063,-0.916290732
Muskshrew,0.048,0.33,10.8,2,12.8,2,30,4,1,3,-3.036554268,-1.108662625
NAmericanopossum,1.7,6.3,13.8,5.6,19.4,5,12,2,1,1,0.530628251,1.840549633
Nine-bandedarmadillo,3.5,10.8,14.3,3.1,17.4,6.5,120,2,1,1,1.252762968,2.379546134
Okapi,250,490,NA,1,NA,23.6,440,5,5,5,5.521460918,6.194405391
Owlmonkey,0.48,15.5,15.2,1.8,17,12,140,2,2,2,-0.733969175,2.740840024
Patasmonkey,10,115,10,0.9,10.9,20.2,170,4,4,4,2.302585093,4.744932128
Phanlanger,1.62,11.4,11.9,1.8,13.7,13,17,2,1,2,0.482426149,2.433613355
Pig,192,180,6.5,1.9,8.4,27,115,4,4,4,5.257495372,5.192956851
Rabbit,2.5,12.1,7.5,0.9,8.4,18,31,5,5,5,0.916290732,2.493205453
Raccoon,4.288,39.2,NA,NA,12.5,13.7,63,2,2,2,1.455820424,3.668676747
Rat,0.28,1.9,10.6,2.6,13.2,4.7,21,3,1,3,-1.272965676,0.641853886
Redfox,4.235,50.4,7.4,2.4,9.8,9.8,52,1,1,1,1.443383328,3.919991175
Rhesusmonkey,6.8,179,8.4,1.2,9.6,29,164,2,3,2,1.916922612,5.187385806
Rockhyrax(Heterob),0.75,12.3,5.7,0.9,6.6,7,225,2,2,2,-0.287682072,2.509599262
Rockhyrax(Procaviahab),3.6,21,4.9,0.5,5.4,6,225,3,2,3,1.280933845,3.044522438
Roedeer,14.83,98.2,NA,NA,2.6,17,150,5,5,5,2.696652156,4.587006215
Sheep,55.5,175,3.2,0.6,3.8,20,151,5,5,5,4.016383021,5.164785974
Slowloris,1.4,12.5,NA,NA,11,12.7,90,2,2,2,0.336472237,2.525728644
Starnosedmole,0.06,1,8.1,2.2,10.3,3.5,NA,3,1,2,-2.813410717,0
Tenrec,0.9,2.6,11,2.3,13.3,4.5,60,2,1,2,-0.105360516,0.955511445
Treehyrax,2,12.3,4.9,0.5,5.4,7.5,200,3,1,3,0.693147181,2.509599262
Treeshrew,0.104,2.5,13.2,2.6,15.8,2.3,46,3,2,2,-2.26336438,0.916290732
Vervet,4.19,58,9.7,0.6,10.3,24,210,4,3,4,1.432700734,4.060443011
Wateropossum,3.5,3.9,12.8,6.6,19.4,3,14,2,1,1,1.252762968,1.360976553
Yellow-belliedmarmot,4.05,17,NA,NA,NA,13,38,3,1,1,1.398716881,2.833213344
