STATION,NAME,DATE,Year,Month,PRCP,TAVG,TMAX,TMIN,,Location,Month,Mean,StDev,ln(Mean),ln(StDev)
USC00064767,"MIDDLETOWN 4 W, CT US",1880-01,1880,1-Jan,3.43,33.2,42.2,24.1,,Middletown,1-Jan,18.555,5.148,2.920739295,1.63860829
USC00064767,"MIDDLETOWN 4 W, CT US",1880-02,1880,2-Feb,3.17,31.1,41.8,20.4,,Middletown,2-Feb,18.908,5.185,2.939585113,1.645769842
USC00064767,"MIDDLETOWN 4 W, CT US",1880-03,1880,3-Mar,3.54,34.1,42.3,25.9,,Middletown,3-Mar,27.216,3.986,3.303805036,1.382788222
USC00064767,"MIDDLETOWN 4 W, CT US",1880-04,1880,4-Apr,2.76,47.9,59.2,36.6,,Middletown,4-Apr,36.914,3.128,3.608590883,1.140393823
USC00064767,"MIDDLETOWN 4 W, CT US",1880-05,1880,5-May,0.42,64.4,76.5,52.3,,Middletown,5-May,46.934,2.939,3.84874236,1.078069387
USC00064767,"MIDDLETOWN 4 W, CT US",1880-06,1880,6-Jun,3.09,69.8,82.2,57.4,,Middletown,6-Jun,55.964,2.664,4.024708627,0.979828753
USC00064767,"MIDDLETOWN 4 W, CT US",1880-07,1880,7-Jul,5.7,72.9,83.7,62.1,,Middletown,7-Jul,61.498,2.791,4.119004654,1.026399955
USC00064767,"MIDDLETOWN 4 W, CT US",1880-08,1880,8-Aug,5.59,70.2,81.8,58.6,,Middletown,8-Aug,59.716,2.934,4.089599991,1.07636668
USC00064767,"MIDDLETOWN 4 W, CT US",1880-09,1880,9-Sep,4.14,64.2,73.9,54.5,,Middletown,9-Sep,52.943,2.947,3.969215863,1.080787704
USC00064767,"MIDDLETOWN 4 W, CT US",1880-10,1880,10-Oct,2.85,50.3,61.6,38.9,,Middletown,10-Oct,42.544,3.315,3.750538835,1.198457624
USC00064767,"MIDDLETOWN 4 W, CT US",1880-11,1880,11-Nov,2.3,36.3,45.1,27.5,,Middletown,11-Nov,33.158,3.472,3.501284015,1.244730797
USC00064767,"MIDDLETOWN 4 W, CT US",1880-12,1880,12-Dec,2.95,23.6,30.6,16.7,,Middletown,12-Dec,23.15,4.842,3.141994781,1.577327859
USC00064767,"MIDDLETOWN 4 W, CT US",1881-01,1881,1-Jan,5.19,18.2,27.6,8.9,,Newark,1-Jan,24.016,4.698,3.178720275,1.547136886
