Year,Annual Min Temp
1907,32.3
1908,18.3
1909,25.1
1910,26.8
1911,22.4
1912,23.2
1913,29.4
1914,25.7
1915,32.3
1916,
1917,25.1
1918,28.5
1919,27.2
1920,28.2
1921,29.7
1922,27
1923,27.8
1924,25.9
1925,27.5
1926,28.3
1927,25.4
1928,27.2
1929,23.3
1930,28.7
1931,31.2
1932,27.6
1933,27.4
1934,29.2
1935,24.6
1936,23.7
1937,25.4
1938,28.9
1939,27.5
1940,27.3
1941,29.2
1942,27.3
1943,26.4
1944,27.3
1945,24.6
1946,25.7
1947,24.7
1948,23.6
1949,24
1950,22.3
1951,23.1
1952,27.5
1953,30.1
1954,28.6
1955,20.8
1956,26.6
1957,28.6
1958,28.6
1959,27.7
1960,26.8
1961,27.7
1962,27.5
1963,28.5
1964,25.4
1965,28
1966,25.9
1967,26.9
1968,27.4
1969,26.3
1970,26.5
1971,27.5
1972,26.4
1973,29.7
1974,27.6
1975,27.6
1976,28.6
1977,29.3
1978,26.8
1979,26.4
1980,28.8
1981,31.6
1982,25.5
1983,29.6
1984,29.9
1985,27.1
1986,31.3
1987,33.8
1988,30.5
1989,28
1990,30.1
1991,31.1
1992,30.3
1993,27.8
1994,28.6
1995,28.7
1996,25.7
1997,29.6
1998,31.6
1999,31.9
2000,29.1
2001,30.9
2002,29.4
2003,29.1
2004,29.1
2005,31.5
2006,32
2007,30.5
2008,28
2009,27.4
2010,30.3
2011,31.4
2012,32.9
2013,28.4
2014,36.9
2015,31.27
2016,32.59
