wrkstat,partyid,polviews,happy,rincome,born,race,sex,degree,age,marital,hrs1,pres12
Working fulltime,Independent,Moderate,Pretty happy,Refused,Yes,White,Male,Bachelor,47,Married,50,Other candidate (specify)
Working fulltime,"Ind,near dem",Liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,61,Never married,42,Obama
Retired,Not str republican,Conservative,Very happy,Not applicable,Yes,White,Male,Bachelor,72,Married,Not applicable,Romney
Working parttime,Not str republican,Moderate,Pretty happy,$10000 - 14999,Yes,White,Female,High school,43,Married,30,Romney
Working parttime,Not str democrat,Slightly liberal,Very happy,$1000 to 2999,Yes,White,Female,Graduate,55,Married,5,Obama
Keeping house,Not str democrat,Slightly liberal,Very happy,Not applicable,No,White,Female,Junior college,53,Married,Not applicable,Obama
Working fulltime,Not str republican,Slightly liberal,Pretty happy,Refused,No,White,Male,High school,50,Married,55,Not applicable
Working parttime,"Ind,near dem",Slghtly conservative,Very happy,$15000 - 19999,No,Other,Female,High school,23,Married,30,Not applicable
Working fulltime,Strong democrat,Don't know,Pretty happy,$20000 - 24999,No,Black,Male,High school,45,Married,80,Not applicable
Retired,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Male,Junior college,71,Divorced,Not applicable,Romney
Keeping house,Strong democrat,Don't know,Don't know,Not applicable,Yes,Black,Female,High school,33,Never married,Not applicable,Not applicable
Retired,Strong republican,Slghtly conservative,Not too happy,Not applicable,Yes,White,Female,High school,86,Widowed,Not applicable,Not applicable
Working parttime,"Ind,near dem",Slightly liberal,Very happy,$4000 to 4999,Yes,Black,Male,High school,32,Married,39,Obama
Keeping house,Strong democrat,Liberal,Very happy,Not applicable,Yes,Black,Female,High school,60,Married,Not applicable,Obama
Temp not working,Independent,Moderate,Pretty happy,$20000 - 24999,Yes,White,Male,Lt high school,76,Divorced,Not applicable,Romney
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Female,High school,33,Never married,42,Obama
Temp not working,No answer,Conservative,Very happy,$20000 - 24999,No,White,Male,High school,56,Married,Not applicable,Romney
Keeping house,Strong democrat,Slightly liberal,Pretty happy,Not applicable,Yes,Other,Female,Lt high school,62,Widowed,Not applicable,Obama
Working fulltime,"Ind,near dem",Liberal,Pretty happy,$25000 or more,Yes,Black,Male,Graduate,31,Never married,40,Obama
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,Black,Male,High school,43,Divorced,40,Obama
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Female,High school,58,Never married,40,Obama
Temp not working,Independent,Slghtly conservative,Pretty happy,Not applicable,Yes,Black,Female,Lt high school,32,Never married,Not applicable,No answer
Working parttime,"Ind,near dem",Slightly liberal,Very happy,$4000 to 4999,No,Other,Female,Lt high school,23,Never married,15,Not applicable
"Unempl, laid off",Independent,Extrmly conservative,Very happy,$25000 or more,Yes,White,Female,High school,37,Married,Not applicable,Not applicable
Working fulltime,"Ind,near rep",Liberal,Pretty happy,$15000 - 19999,No,White,Female,Junior college,25,Divorced,50,Not applicable
Retired,Strong democrat,Don't know,Not too happy,Not applicable,No,White,Female,Lt high school,76,Separated,Not applicable,Obama
Retired,Strong democrat,Liberal,Very happy,Not applicable,Yes,White,Male,Graduate,71,Married,Not applicable,Obama
Working parttime,Independent,Moderate,Not too happy,Not applicable,Yes,Black,Male,High school,22,Never married,4,Not applicable
Retired,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Male,Graduate,74,Widowed,Not applicable,Obama
Retired,"Ind,near rep",Conservative,Not too happy,Not applicable,Yes,White,Female,High school,75,Divorced,Not applicable,Romney
"Unempl, laid off","Ind,near dem",Liberal,Not too happy,Not applicable,Yes,White,Male,High school,32,Never married,Not applicable,Obama
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Female,High school,68,Married,50,Obama
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,55,Married,40,Obama
Retired,Not str democrat,Slghtly conservative,Pretty happy,Not applicable,No,Black,Male,High school,46,Married,Not applicable,Not applicable
"Unempl, laid off",Strong democrat,Moderate,Not too happy,Not applicable,Yes,White,Female,High school,58,Separated,Not applicable,Obama
Working fulltime,Strong republican,Conservative,Not too happy,$25000 or more,Yes,White,Male,High school,35,Never married,40,Romney
Working parttime,"Ind,near dem",Conservative,Not too happy,$15000 - 19999,Yes,White,Male,Bachelor,59,Married,25,Obama
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,43,Married,40,Obama
Working fulltime,Strong republican,Conservative,Very happy,$25000 or more,Yes,White,Female,Bachelor,58,Never married,65,Romney
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,79,Widowed,Not applicable,Obama
Working fulltime,"Ind,near dem",Extrmly conservative,Pretty happy,$15000 - 19999,Yes,White,Female,High school,40,Never married,39,Not applicable
Working parttime,Strong democrat,Moderate,Not too happy,Not applicable,No,Other,Female,High school,44,Married,10,Not applicable
Working parttime,Not str republican,Moderate,Pretty happy,Not applicable,No,Other,Female,Bachelor,68,Married,6,Not applicable
Working fulltime,Not str democrat,Liberal,Not too happy,$25000 or more,No,White,Female,Graduate,36,Never married,45,Not applicable
Retired,Not str republican,Moderate,Very happy,Not applicable,No,White,Male,High school,70,Divorced,Not applicable,Romney
Working fulltime,Strong democrat,Extremely liberal,Very happy,$25000 or more,Yes,White,Male,High school,28,Never married,45,Obama
Working fulltime,Not str democrat,Liberal,Pretty happy,Refused,Yes,Black,Female,Bachelor,35,Never married,44,Obama
Working fulltime,"Ind,near dem",Extremely liberal,Not too happy,$25000 or more,No,Other,Male,Graduate,33,Married,40,Not applicable
School,Independent,Slightly liberal,Pretty happy,Not applicable,No,White,Male,Bachelor,23,Never married,Not applicable,Romney
Working fulltime,Strong democrat,Extremely liberal,Very happy,$25000 or more,Yes,White,Female,Graduate,47,Divorced,50,Obama
Working fulltime,Not str democrat,Liberal,Very happy,Not applicable,Yes,Other,Female,Bachelor,25,Never married,50,Not applicable
Retired,Strong democrat,Extremely liberal,Pretty happy,Not applicable,No,White,Female,High school,70,Married,Not applicable,Obama
Working parttime,Not str republican,Slghtly conservative,Very happy,$1000 to 2999,Yes,White,Male,High school,20,Never married,20,Not applicable
Working fulltime,"Ind,near rep",Moderate,Very happy,Refused,Yes,White,Male,Graduate,41,Married,45,Not applicable
Working parttime,Strong republican,Conservative,Very happy,$5000 to 5999,Yes,White,Female,Bachelor,53,Married,4,Romney
Working parttime,"Ind,near dem",Extremely liberal,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,42,Married,35,Obama
Working fulltime,Not str democrat,Moderate,Pretty happy,$20000 - 24999,Yes,White,Female,Graduate,40,Divorced,40,Obama
Working fulltime,Not str democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,White,Female,Graduate,57,Divorced,40,Obama
Working fulltime,Strong democrat,Liberal,Pretty happy,$8000 to 9999,Yes,White,Female,Graduate,59,Divorced,40,Romney
"Unempl, laid off",Strong democrat,Slghtly conservative,Pretty happy,$6000 to 6999,Yes,White,Female,Lt high school,35,Never married,Not applicable,Obama
Working fulltime,Independent,Moderate,Pretty happy,$20000 - 24999,Yes,Black,Male,High school,26,Never married,37,Obama
"Unempl, laid off",Independent,Conservative,Not too happy,Not applicable,Yes,Black,Male,High school,35,Widowed,Not applicable,Not applicable
Other,Independent,Moderate,Don't know,Not applicable,Yes,Black,Female,High school,51,Separated,Not applicable,Obama
School,Not str democrat,Slightly liberal,Not too happy,$20000 - 24999,Yes,Black,Female,High school,39,Divorced,Not applicable,Obama
Keeping house,Not str democrat,Moderate,Pretty happy,Not applicable,No,Other,Female,High school,27,Never married,Not applicable,Not applicable
Working fulltime,Strong democrat,Extrmly conservative,Pretty happy,$25000 or more,Yes,Other,Male,Lt high school,30,Never married,40,Obama
Working fulltime,"Ind,near rep",Slightly liberal,Pretty happy,$20000 - 24999,Yes,Other,Male,High school,29,Never married,40,Not applicable
Temp not working,Not str democrat,Extrmly conservative,Not too happy,Not applicable,Yes,Black,Female,Lt high school,39,Never married,Not applicable,Obama
Other,Strong democrat,Slghtly conservative,Pretty happy,Not applicable,Yes,Black,Female,Lt high school,60,Divorced,Not applicable,Not applicable
Retired,Not str democrat,Moderate,Not too happy,Not applicable,No,Other,Female,Lt high school,74,Widowed,Not applicable,Obama
Retired,Not str democrat,Don't know,Not too happy,Not applicable,Yes,Black,Female,Lt high school,74,Never married,Not applicable,Not applicable
Working fulltime,Strong democrat,Moderate,Very happy,$25000 or more,Yes,Black,Female,Bachelor,57,Divorced,35,Obama
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Male,High school,80,Widowed,Not applicable,Obama
Retired,Strong democrat,Slghtly conservative,Not too happy,Not applicable,No,Black,Male,High school,70,Divorced,Not applicable,Obama
Working parttime,"Ind,near dem",Slightly liberal,Very happy,$25000 or more,No,Black,Female,Bachelor,35,Married,14,Obama
Keeping house,Independent,Liberal,Not too happy,Not applicable,Yes,Black,Female,Lt high school,49,Never married,Not applicable,Not applicable
Working parttime,Not str democrat,Extremely liberal,Pretty happy,$25000 or more,No,White,Female,Graduate,36,Never married,50,Obama
Working fulltime,Strong democrat,Extremely liberal,Pretty happy,$25000 or more,No,Black,Female,Graduate,37,Never married,40,Obama
Retired,Strong democrat,Extremely liberal,Very happy,Not applicable,Yes,White,Female,Graduate,78,Widowed,Not applicable,Obama
Working fulltime,No answer,No answer,Very happy,Not applicable,Yes,Black,Male,High school,41,Never married,37,Obama
Working fulltime,Not str democrat,Slightly liberal,Pretty happy,$25000 or more,No,Other,Male,Junior college,42,Married,45,Obama
Working fulltime,Other party,Slghtly conservative,Not too happy,$25000 or more,Yes,White,Female,Junior college,35,Separated,60,Romney
Working fulltime,"Ind,near rep",Slghtly conservative,Very happy,$25000 or more,Yes,White,Male,Bachelor,33,Married,48,Don't know
Working fulltime,"Ind,near rep",Moderate,Very happy,$25000 or more,Yes,White,Male,High school,44,Divorced,40,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,No,White,Male,Junior college,41,Married,46,Not applicable
Working fulltime,Strong republican,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,52,Divorced,48,Romney
Working fulltime,"Ind,near rep",Moderate,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,45,Never married,40,Obama
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$20000 - 24999,No,Other,Female,High school,41,Divorced,50,Not applicable
Working fulltime,"Ind,near dem",Don't know,Very happy,$15000 - 19999,No,White,Female,High school,41,Separated,40,Not applicable
Retired,"Ind,near dem",Slightly liberal,Pretty happy,Don't know,Yes,White,Male,High school,68,Never married,Not applicable,Not applicable
Keeping house,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Female,High school,57,Never married,Not applicable,Obama
Keeping house,Not str democrat,Extremely liberal,Very happy,Not applicable,No,Black,Male,Graduate,72,Married,Not applicable,Obama
Retired,Independent,No answer,Pretty happy,Not applicable,Yes,White,Male,Graduate,68,Divorced,Not applicable,Obama
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,50,Never married,40,Obama
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,Graduate,40,Never married,70,Obama
Working fulltime,Other party,Extremely liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,58,Never married,No answer,Obama
Working fulltime,Not str democrat,Extremely liberal,Pretty happy,$20000 - 24999,No,White,Male,High school,43,Never married,Don't know,Not applicable
Working fulltime,"Ind,near dem",Moderate,Very happy,$6000 to 6999,Yes,Black,Male,Bachelor,25,Never married,45,Not applicable
Working fulltime,Independent,Slightly liberal,Pretty happy,$8000 to 9999,No,Other,Male,Graduate,33,Never married,40,Not applicable
Working parttime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,27,Never married,30,Obama
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,No,Black,Female,Bachelor,58,Married,37,Obama
Retired,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,66,Married,Not applicable,Obama
Retired,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,66,Separated,Not applicable,Not applicable
Retired,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,89 or older,Widowed,Not applicable,Obama
Working fulltime,"Ind,near dem",Extremely liberal,Pretty happy,Not applicable,Yes,Other,Female,Junior college,29,Married,42,Obama
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,Lt high school,89 or older,Never married,Not applicable,Don't know
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,78,Never married,Not applicable,Romney
"Unempl, laid off",Strong democrat,Slightly liberal,Not too happy,Not applicable,No,White,Female,High school,52,Never married,Not applicable,Obama
Retired,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,50,Never married,Not applicable,Not applicable
Working parttime,Strong republican,Conservative,Very happy,Not applicable,Yes,White,Female,Bachelor,25,Married,4,Not applicable
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,37,Married,40,Not applicable
Working fulltime,Not str democrat,Moderate,Very happy,Refused,Yes,White,Female,Bachelor,54,Divorced,50,Not applicable
Working fulltime,Strong democrat,Moderate,Pretty happy,Not applicable,No,Other,Male,Junior college,52,Married,51,Not applicable
Working fulltime,Not str republican,Moderate,Pretty happy,$25000 or more,No,White,Male,High school,48,Married,35,Romney
Working fulltime,Not str democrat,Moderate,Very happy,Refused,Yes,Other,Female,Graduate,32,Married,60,Not applicable
Working parttime,Other party,Liberal,Pretty happy,Not applicable,No,White,Female,Bachelor,29,Married,15,Not applicable
Retired,Not str democrat,Slightly liberal,Very happy,Not applicable,Yes,White,Female,Bachelor,75,Married,Not applicable,Obama
Working fulltime,"Ind,near dem",Extremely liberal,Very happy,Refused,Yes,White,Female,Graduate,59,Married,45,Obama
Retired,Not str democrat,Moderate,Very happy,Not applicable,Yes,White,Male,High school,81,Married,Not applicable,Don't know
Retired,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,69,Married,Not applicable,Not applicable
Working fulltime,Not str democrat,Slightly liberal,Very happy,$25000 or more,Yes,White,Female,Graduate,55,Married,40,Obama
Working parttime,"Ind,near rep",Moderate,Very happy,$15000 - 19999,Yes,White,Female,High school,52,Never married,20,Don't know
Working parttime,Other party,Extrmly conservative,Pretty happy,Refused,Yes,White,Female,Bachelor,33,Never married,25,Obama
Working fulltime,Not str republican,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,56,Divorced,40,Not applicable
Retired,Independent,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Male,Graduate,71,Married,Not applicable,Obama
School,Not str republican,Moderate,Very happy,Not applicable,Yes,White,Male,High school,21,Never married,Not applicable,Not applicable
Working fulltime,Not str democrat,Moderate,Very happy,$25000 or more,Yes,White,Female,High school,49,Married,40,Not applicable
Working fulltime,Not str republican,Slghtly conservative,Very happy,$25000 or more,Yes,White,Male,Bachelor,26,Never married,50,Romney
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,33,Never married,40,Obama
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,Graduate,36,Married,65,Romney
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Male,High school,68,Widowed,Not applicable,Obama
Working fulltime,Not str democrat,Conservative,Pretty happy,$25000 or more,Yes,Black,Female,Junior college,27,Never married,40,Obama
Keeping house,Strong democrat,Moderate,Pretty happy,$4000 to 4999,Yes,Black,Female,High school,60,Never married,Not applicable,Obama
Working fulltime,Not str republican,Moderate,Very happy,$25000 or more,Yes,White,Male,High school,48,Never married,52,Obama
Working fulltime,"Ind,near dem",Moderate,Not too happy,$25000 or more,Yes,Black,Female,High school,47,Married,50,Obama
