state,code,Death_Rate_2016,rate_05,median.inc,age21handgunsale,alchohol,amm18,amm21h,assaultlist,college,danger,License,elementary,exparte,felony,gunshow,mentalhealth,microstamp,SYG,opencarryh,permit,universal,waiting,lawtotal,LawRanking,GiffordsGrade,GifGradeRed,Region
Alabama,AL,21.5,16,44765,0,1,0,0,0,0,1,Yes,0,0,0,0,0,0,Yes,0,0,0,0,10,36,F,F,South
Alaska,AK,23.3,17.5,73355,0,0,0,0,0,0,0,No,1,0,1,0,0,0,Yes,0,0,0,0,4,44,F,F,Northwest
Arizona,AZ,15.2,16.1,51492,0,0,0,0,0,0,1,No,0,0,1,0,0,0,Yes,0,0,0,0,11,47,F,F,Southwest
Arkansas,AR,17.8,15.7,41995,0,0,0,0,0,1,1,No,1,0,1,0,0,0,No,0,0,0,0,11,39,F,F,South
California,CA,7.9,9.5,64500,1,1,1,1,1,1,1,Yes,0,1,1,1,1,1,No,0,1,1,1,104,1,A,AB,West
Colorado,CO,14.3,11.6,63909,0,0,0,0,0,1,0,No,1,0,1,1,0,0,No,0,0,1,0,30,15,C,CD,West
Connecticut,CT,4.6,5.3,71346,1,0,1,1,1,0,1,Yes,1,1,1,1,1,0,No,0,1,1,0,89,3,A-,AB,NorthEast
Delaware,DE,11,8.8,61255,1,0,0,0,0,0,1,Yes,1,0,1,1,1,0,No,0,0,1,0,39,11,B,AB,NorthEast
Florida,FL,12.6,10,49426,0,0,0,0,0,1,0,No,1,0,1,0,0,0,Yes,1,0,0,0,21,26,F,F,South
Georgia,GA,15,12.1,51244,0,0,0,0,0,0,0,No,0,0,1,0,0,0,Yes,0,0,0,0,6,32,F,F,South
Hawaii,HI,4.5,2.1,73486,1,1,0,0,0,0,1,Yes,0,1,1,0,0,0,No,0,1,0,1,78,7,A-,AB,Pacific
Idaho,ID,14.6,14.1,48275,0,0,0,0,0,0,0,No,1,0,0,0,0,0,No,0,0,0,0,4,46,F,F,West
Illinois,IL,11.7,8,59588,0,0,0,0,0,1,1,No,1,1,1,1,1,0,No,0,1,0,1,64,8,B+,AB,Midwest
Indiana,IN,15,11.2,50532,0,0,0,0,0,0,0,Yes,1,0,0,0,0,0,Yes,0,0,0,0,12,23,D-,CD,Midwest
Iowa,IA,9.2,6.7,54736,1,0,1,1,0,0,0,No,1,0,1,0,0,0,No,0,0,0,0,25,18,C-,CD,Midwest
Kansas,KS,13.4,9.3,53906,0,1,0,0,0,0,1,No,0,0,1,0,0,0,Yes,0,0,0,0,7,48,F,F,Midwest
Kentucky,KY,17.5,13,45215,0,0,0,0,0,0,0,No,1,0,1,0,0,0,Yes,0,0,0,0,7,42,F,F,South
Louisiana,LA,21.3,18.5,45727,0,0,0,0,0,1,0,No,1,0,0,0,0,0,Yes,0,0,0,0,12,43,F,F,South
Maine,ME,8.3,7.8,51494,0,0,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,12,35,F,F,NorthEast
Maryland,MD,11.9,11.9,75847,1,0,1,1,1,0,1,Yes,1,0,1,0,0,0,No,0,0,0,0,64,6,A-,AB,NorthEast
Massachusetts,MA,3.4,3.4,70628,1,1,1,1,1,1,1,Yes,1,1,1,0,1,0,No,0,1,0,0,100,4,A-,AB,NorthEast
Michigan,MI,12.3,10.8,51084,0,0,0,0,0,0,0,No,1,0,1,0,0,0,Yes,0,0,0,0,21,16,C,CD,Midwest
Minnesota,MN,7.6,7,63488,0,1,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,41,12,C+,CD,Midwest
Mississippi,MS,19.9,16,40593,0,0,0,0,0,1,0,No,0,0,1,0,0,0,Yes,0,0,0,0,5,50,F,F,South
Missouri,MO,19,12.9,50238,0,1,0,0,0,0,0,No,0,0,1,0,0,0,Yes,0,0,0,0,7,48,F,F,Midwest
Montana,MT,18.9,16.9,49509,0,0,0,0,0,0,0,No,1,0,0,0,0,0,Yes,0,0,0,0,4,37,F,F,West
Nebraska,NE,9.1,7.7,54996,1,0,0,0,0,1,0,No,1,0,1,0,0,0,No,0,0,0,0,22,19,D,CD,Midwest
Nevada,NV,16.8,16.1,52431,0,0,0,0,0,0,1,No,1,0,1,0,0,0,Yes,0,0,0,0,15,22,D,CD,West
New Hampshire,NH,9.3,6.6,70303,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,Yes,0,0,0,0,10,31,F,F,NorthEast
New Jersey,NJ,5.5,5.2,72222,1,0,0,1,1,1,1,Yes,1,0,0,0,0,0,No,0,1,0,0,67,2,A-,AB,NorthEast
New Mexico,NM,18.1,13.9,45382,0,0,0,0,0,1,0,No,1,0,1,0,0,0,No,0,0,0,0,10,29,F,F,West
New York,NY,4.4,5.3,60850,1,0,0,1,1,1,1,Yes,1,1,1,1,1,0,No,1,0,1,0,75,5,A-,AB,NorthEast
North Carolina,NC,13.7,12.8,47830,0,0,0,0,0,1,0,No,1,1,1,0,0,0,Yes,0,0,0,0,30,25,D-,CD,South
North Dakota,ND,11.9,8.8,60557,0,1,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,14,37,F,F,Midwest
Ohio,OH,12.9,9.6,51075,1,1,0,0,0,0,1,No,1,0,0,0,0,0,No,0,0,0,0,16,21,D,CD,Midwest
Oklahoma,OK,19.6,13.2,48568,0,0,0,0,0,0,0,No,0,0,1,0,0,0,Yes,0,0,0,0,9,27,F,F,South
Oregon,OR,11.9,10.7,54148,0,0,0,0,0,1,1,No,0,0,1,1,1,0,No,0,0,1,0,35,14,C,CD,West
Pennsylvania,PA,12,10.8,55702,0,0,0,0,0,0,1,Yes,1,0,0,0,1,0,Yes,0,0,0,0,36,13,C,CD,NorthEast
Rhode Island,RI,4.1,3.6,58073,1,0,1,1,0,0,1,Yes,0,0,0,1,0,0,No,0,1,1,1,43,9,B+,AB,NorthEast
South Carolina,SC,17.7,13.8,47238,0,1,0,0,0,1,1,No,1,0,0,0,0,0,Yes,1,0,0,0,12,29,F,F,South
South Dakota,SD,13.4,10.2,53017,0,0,0,0,0,0,0,No,0,0,0,0,0,0,Yes,0,0,0,0,5,40,F,F,Midwest
Tennessee,TN,17.1,16,47275,0,0,0,0,0,1,1,No,0,0,1,0,0,0,Yes,0,0,0,0,22,24,D-,CD,South
Texas,TX,12.1,11.1,55653,0,0,0,0,0,1,0,No,1,1,1,0,0,0,Yes,0,0,0,0,18,32,F,F,South
Utah,UT,12.9,10.1,62912,0,0,0,0,0,0,1,No,0,0,1,0,0,0,Yes,0,0,0,0,11,27,F,F,West
Vermont,VT,11.1,6.8,56990,0,0,0,0,0,0,0,No,0,0,0,0,0,0,No,0,0,0,0,6,41,F,F,NorthEast
Virginia,VA,12.1,11.5,66262,0,0,0,0,0,0,1,No,1,0,1,0,0,0,No,0,0,0,0,13,20,D,CD,South
Washington,WA,9,8.8,64129,0,0,0,0,0,0,1,Yes,1,1,1,1,1,0,No,0,0,1,0,43,10,B,AB,West
