Species,Concentration,Dry Weight
Radish,0,0.8019
Radish,0,1.9457
Radish,0,1.6644
Radish,0.1,1.8613
Radish,0.1,1.2914
Radish,0.1,1.2735
Radish,0.25,0.4617
Radish,0.25,0.4858
Radish,0.25,0.838
Radish,0.5,0.365
Radish,0.5,0.3118
Radish,0.5,0.2169
Radish,1,0.2064
Radish,1,0.2032
Radish,1,0.1471
Rye Grass,0,1.5963
Rye Grass,0,0.9778
Rye Grass,0,1.9583
Rye Grass,0.1,0.5504
Rye Grass,0.1,0.4977
Rye Grass,0.1,1.0528
Rye Grass,0.25,0.1396
Rye Grass,0.25,0.2444
Rye Grass,0.25,0.0343
Rye Grass,0.5,0.0171
Rye Grass,0.5,0.029
Rye Grass,0.5,0.0354
Rye Grass,1,0.0045
Rye Grass,1,0.0013
Rye Grass,1,0.0195
