Publisher,Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
"Nintendo Australia Pty., Ltd., Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Super Mario 64 DS,Action,Nintendo DS,4.69,2004,1,1,24.95,85,0,1,0,0,1,0,0,0
"Bandai Co., Ltd., Ubisoft Entertainment SA, Ubisoft, Inc.",Lumines: Puzzle Fusion,Strategy,Sony PSP,0.56,2004,0,0,14.95,89,0,1,1,0,1,0,0,0
"Nintendo Australia Pty., Ltd., Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",WarioWare Touched!,"Action, Racing / Driving, Sports",Nintendo DS,0.54,2004,1,0,22.95,81,0,2,0,0,1,0,0,0
"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated",Hot Shots Golf: Open Tee,Sports,Sony PSP,0.49,2004,0,0,12.95,81,0,1,1,0,1,0,0,0
"Activision Asia-Pacific, Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited, ATVI France SARL, Taito Corporation",Spider-Man 2,Action,Nintendo DS,0.45,2004,1,0,14.95,61,0,1,0,0,1,0,0,1
"Electronic Arts, Inc.",The Urbz: Sims in the City,Simulation,Nintendo DS,0.41,2004,1,0,12.95,67,0,1,0,0,1,0,0,1
"Namco Hometek Inc., Namco Limited, SCEE",Ridge Racer,Racing / Driving,Sony PSP,0.36,2004,1,0,19.95,88,0,1,1,0,1,0,0,1
"Konami Corporation, Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Metal Gear Ac!d,Strategy,Sony PSP,0.34,2004,0,0,17.95,75,0,1,1,0,1,0,0,0
"Electronic Arts, Inc.",Madden NFL 2005,Sports,Nintendo DS,0.25,2004,1,0,8.95,68,0,1,0,1,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",PokÇmon Dash,Racing / Driving,Nintendo DS,0.22,2004,0,0,24.95,46,0,1,0,0,1,0,0,0
"KOEI Co., Ltd., KOEI Corporation, KOEI Ltd.",Dynasty Warriors,"Action, Adventure, Role-Playing (RPG)",Sony PSP,0.2,2004,1,0,14.95,62,0,1,0,0,1,0,0,0
"SEGA Corporation, SEGA Europe Ltd.",Feel the Magic XY/XX,"Action, Adventure, Racing / Driving, Sports",Nintendo DS,0.16,2004,0,0,8.95,75,0,1,0,0,1,0,0,0
Namco Hometek Inc.,Ridge Racer DS,Racing / Driving,Nintendo DS,0.15,2004,1,0,9.95,63,0,1,0,1,1,0,0,1
"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Darkstalkers Chronicle: The Chaos Tower,Action,Sony PSP,0.14,2004,0,1,14.95,74,0,1,1,0,1,0,0,0
"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated",Ape Escape Academy,"Action, Sports",Sony PSP,0.13,2004,1,0,14.95,51,0,4,1,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Polarium,Strategy,Nintendo DS,0.12,2004,0,0,8.95,73,0,1,0,1,1,0,0,0
"Taito Corporation, Ubisoft Entertainment SA, Ubisoft, Inc.",Asphalt: Urban GT,"Racing / Driving, Simulation",Nintendo DS,0.11,2004,0,0,14.95,60,0,1,0,0,1,0,0,0
THQ Inc.,Ping Pals,Action,Nintendo DS,0.11,2004,0,0,7.95,28,0,1,0,0,1,0,0,0
"Ignition Entertainment Ltd., Ignition Entertainment Ltd. USA, Success Corp.",Zoo Keeper,Action,Nintendo DS,0.1,2004,0,0,14.95,74,0,1,0,0,1,0,0,0
"Namco Europe Limited, Namco Hometek Inc., Namco Limited",Mr. DRILLER: Drill Spirits,Action,Nintendo DS,0.09,2004,1,0,14.95,72,0,1,0,0,1,0,0,0
"Ubisoft Entertainment SA, Ubisoft, Inc.",Sprung,Adventure,Nintendo DS,0.06,2004,0,0,8.95,48,0,1,0,0,1,0,0,0
"505 GameStreet, Agetec, Inc., FromSoftware, Inc.",Armored Core: Formula Front - Extreme Battle,"Action, Strategy",Sony PSP,0.05,2004,1,0,16.95,66,0,1,1,0,1,0,0,0
"Atlus U.S.A., Inc., SEGA Corporation, SEGA Europe Ltd.",Puyo Pop Fever,"Action, Strategy",Nintendo DS,0.04,2004,0,1,19.95,76,0,1,0,0,1,0,0,1
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Mario Kart DS,Racing / Driving,Nintendo DS,9.99,2005,1,0,29.95,91,1,1,1,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Nintendogs,Simulation,Nintendo DS,9.72,2005,0,0,26.95,83,1,1,0,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Brain Age: Train Your Brain in Minutes a Day!,Action,Nintendo DS,5.07,2005,0,0,17.95,77,1,1,0,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo France SARL, Nintendo of America Inc., Nintendo of Europe GmbH",Brain Age˝: More Training in Minutes a Day!,Action,Nintendo DS,3.65,2005,1,0,17.95,77,1,1,0,0,1,0,0,0
"Capcom Co., Ltd., Rockstar Games, Inc.",Grand Theft Auto: Liberty City Stories,"Action, Racing / Driving",Sony PSP,2.97,2005,1,0,17.95,88,1,1,1,0,1,0,0,1
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Animal Crossing: Wild World,Simulation,Nintendo DS,2.6,2005,1,0,24.95,86,1,1,1,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Big Brain Academy,Action,Nintendo DS,1.77,2005,0,0,16.95,74,1,1,0,0,1,0,0,0
"Activision Deutschland GmbH, Activision Italia, Activision Publishing, Inc., Activision (UK) Limited, Konami Digital Entertainment Co., Ltd.",Call of Duty 2,Action,X360,1.69,2005,1,0,17.95,89,0,4,1,0,0,0,0,0
"Rockstar Games, Inc.",Midnight Club 3: DUB Edition,Racing / Driving,Sony PSP,1.69,2005,1,0,14.95,74,1,1,1,1,1,0,0,1
"Electronic Arts, Inc.",Need for Speed: Most Wanted 5-1-0,Racing / Driving,Sony PSP,1.67,2005,1,0,14.95,72,1,1,1,0,1,0,0,1
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",PokÇmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),Nintendo DS,1.22,2005,1,0,14.95,62,1,1,0,0,1,0,0,0
"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Sonic Rush,Action,Nintendo DS,1.2,2005,1,0,14.95,82,1,1,0,0,1,0,0,0
LucasArts,Star Wars: Battlefront II,Action,Sony PSP,1.09,2005,1,0,16.95,69,1,1,1,1,1,0,0,0
"Sony Computer Entertainment America, Inc., SCEE",SOCOM: U.S. Navy SEALs - Fireteam Bravo,Action,Sony PSP,1.07,2005,1,0,14.95,82,1,1,1,0,1,0,0,0
"Electronic Arts UK Ltd., Electronic Arts, Inc.",Need for Speed: Most Wanted,Racing / Driving,X360,0.95,2005,1,0,17.95,83,0,2,1,0,0,0,0,1
THQ Inc.,Zoo Tycoon DS,"Simulation, Strategy",Nintendo DS,0.92,2005,0,1,12.95,44,1,1,0,0,1,0,0,0
