USSales,YearReleased,Sequel,ReRelease,Usedprice,ReviewScore,Lifecycle,MaxPlayers,Online,licensed,Handheld,Accessory,LtdEdition,Multiplatform
4.69,2004,1,1,24.95,85,0,1,0,0,1,0,0,0
0.56,2004,0,0,14.95,89,0,1,1,0,1,0,0,0
0.54,2004,1,0,22.95,81,0,2,0,0,1,0,0,0
0.49,2004,0,0,12.95,81,0,1,1,0,1,0,0,0
0.45,2004,1,0,14.95,61,0,1,0,0,1,0,0,1
0.41,2004,1,0,12.95,67,0,1,0,0,1,0,0,1
0.36,2004,1,0,19.95,88,0,1,1,0,1,0,0,1
0.34,2004,0,0,17.95,75,0,1,1,0,1,0,0,0
0.25,2004,1,0,8.95,68,0,1,0,1,1,0,0,0
0.22,2004,0,0,24.95,46,0,1,0,0,1,0,0,0
0.2,2004,1,0,14.95,62,0,1,0,0,1,0,0,0
0.16,2004,0,0,8.95,75,0,1,0,0,1,0,0,0
0.15,2004,1,0,9.95,63,0,1,0,1,1,0,0,1
0.14,2004,0,1,14.95,74,0,1,1,0,1,0,0,0
0.13,2004,1,0,14.95,51,0,4,1,0,1,0,0,0
0.12,2004,0,0,8.95,73,0,1,0,1,1,0,0,0
0.11,2004,0,0,14.95,60,0,1,0,0,1,0,0,0
0.11,2004,0,0,7.95,28,0,1,0,0,1,0,0,0
0.1,2004,0,0,14.95,74,0,1,0,0,1,0,0,0
0.09,2004,1,0,14.95,72,0,1,0,0,1,0,0,0
0.06,2004,0,0,8.95,48,0,1,0,0,1,0,0,0
0.05,2004,1,0,16.95,66,0,1,1,0,1,0,0,0
0.04,2004,0,1,19.95,76,0,1,0,0,1,0,0,1
9.99,2005,1,0,29.95,91,1,1,1,0,1,0,0,0
9.72,2005,0,0,26.95,83,1,1,0,0,1,0,0,0
5.07,2005,0,0,17.95,77,1,1,0,0,1,0,0,0
3.65,2005,1,0,17.95,77,1,1,0,0,1,0,0,0
2.97,2005,1,0,17.95,88,1,1,1,0,1,0,0,1
2.6,2005,1,0,24.95,86,1,1,1,0,1,0,0,0
1.77,2005,0,0,16.95,74,1,1,0,0,1,0,0,0
1.69,2005,1,0,17.95,89,0,4,1,0,0,0,0,0
1.69,2005,1,0,14.95,74,1,1,1,1,1,0,0,1
1.67,2005,1,0,14.95,72,1,1,1,0,1,0,0,1
1.22,2005,1,0,14.95,62,1,1,0,0,1,0,0,0
1.2,2005,1,0,14.95,82,1,1,0,0,1,0,0,0
1.09,2005,1,0,16.95,69,1,1,1,1,1,0,0,0
1.07,2005,1,0,14.95,82,1,1,1,0,1,0,0,0
0.95,2005,1,0,17.95,83,0,2,1,0,0,0,0,1
0.92,2005,0,1,12.95,44,1,1,0,0,1,0,0,0
0.83,2005,1,0,17.95,70,1,1,0,0,1,0,0,1
0.77,2005,0,1,17.95,73,1,1,1,0,1,0,0,0
0.75,2005,1,0,29.95,86,1,1,0,0,1,0,0,0
0.75,2005,1,0,7.95,75,1,1,1,1,1,0,0,1
0.73,2005,1,0,17.95,74,1,4,1,1,1,0,0,0
0.73,2005,1,0,14.95,79,1,1,1,0,1,0,0,1
0.7,2005,1,0,17.95,79,0,4,1,0,0,0,0,0
0.7,2005,1,0,15.95,63,1,1,0,0,1,0,0,0
0.7,2005,0,0,29.95,75,1,1,0,0,1,0,0,0
0.68,2005,1,0,14.95,86,1,1,1,0,1,0,0,1
0.62,2005,1,0,4.95,74,0,2,1,1,0,0,0,1
0.61,2005,0,0,17.95,83,1,1,1,0,1,0,0,0
0.56,2005,0,0,12.95,63,1,4,1,1,1,0,0,0
0.56,2005,0,0,12.95,68,1,1,1,0,1,0,0,0
0.49,2005,1,0,14.95,83,1,1,1,0,1,0,0,0
0.46,2005,1,0,14.95,65,1,1,1,0,1,0,0,1
0.45,2005,1,0,12.95,88,1,1,1,0,1,0,0,0
0.42,2005,1,0,9.95,80,1,1,1,1,1,0,0,1
0.38,2005,1,0,14.95,81,1,4,0,0,1,0,0,1
0.38,2005,1,0,17.95,85,0,4,1,0,0,0,0,0
0.38,2005,0,0,24.95,81,1,1,0,0,1,0,0,0
0.38,2005,1,0,14.95,67,1,1,0,1,1,0,0,0
0.37,2005,1,0,17.95,73,1,4,1,1,1,0,0,0
0.37,2005,1,0,17.95,86,1,1,0,0,1,0,0,0
0.36,2005,1,0,16.95,77,0,4,1,0,0,0,0,1
0.36,2005,1,0,17.95,73,1,1,0,0,1,0,0,0
0.33,2005,1,0,9.95,71,0,4,1,1,0,0,0,0
0.33,2005,0,0,14.95,81,0,1,0,0,0,0,0,0
0.32,2005,0,0,14.95,80,0,2,0,1,0,0,0,1
0.31,2005,1,0,17.95,89,1,1,0,0,1,0,0,0
0.31,2005,0,0,13.95,67,1,1,0,0,1,0,0,1
0.31,2005,0,0,17.95,58,1,1,1,1,1,0,0,1
0.31,2005,0,0,11.95,79,0,1,1,0,0,0,0,0
0.3,2005,1,0,17.95,90,1,1,0,0,1,0,0,0
0.3,2005,0,0,15.95,81,1,1,0,0,1,0,0,0
0.3,2005,0,0,12.95,59,1,1,1,0,1,0,0,0
0.29,2005,1,0,4.95,64,0,1,0,0,0,0,0,1
0.29,2005,1,0,14.95,75,0,1,1,1,0,0,0,1
0.28,2005,1,0,16.95,73,1,1,0,1,1,0,0,0
0.28,2005,0,1,17.95,72,1,1,1,0,1,0,0,0
0.27,2005,0,0,14.95,66,1,1,0,1,1,0,0,1
0.27,2005,1,0,17.95,84,1,1,1,1,1,0,0,1
0.27,2005,1,0,14.95,75,0,1,1,0,0,0,0,0
0.26,2005,0,0,19.95,74,1,1,0,0,1,0,0,0
0.25,2005,1,0,15.95,45,1,1,0,1,1,0,0,1
0.25,2005,0,1,17.95,79,1,1,0,0,1,0,0,0
0.24,2005,0,0,9.95,80,1,1,0,1,1,0,0,0
0.22,2005,1,0,17.95,75,1,4,1,1,1,0,0,0
0.22,2005,1,0,17.95,79,1,1,0,0,1,0,0,0
0.22,2005,1,0,9.95,72,1,1,1,1,1,0,0,1
0.22,2005,0,0,19.95,75,0,1,0,0,0,0,0,1
0.22,2005,1,0,4.95,81,0,1,0,0,0,0,0,1
0.21,2005,1,0,9.95,73,1,4,1,1,1,0,0,1
0.21,2005,1,0,17.95,68,1,1,0,1,1,0,0,1
0.21,2005,1,0,16.95,84,1,1,1,1,1,0,0,1
0.21,2005,0,1,14.95,63,1,1,1,0,1,0,0,0
0.21,2005,0,0,4.95,67,1,1,1,0,1,0,0,1
0.21,2005,0,0,9.95,57,1,1,0,1,1,0,0,0
0.21,2005,0,0,17.95,78,1,1,1,1,1,0,0,0
0.21,2005,0,0,14.95,37,1,1,1,1,1,0,0,1
0.2,2005,1,0,16.95,79,1,1,1,0,1,0,0,1
0.2,2005,1,0,9.95,80,1,1,1,1,1,0,0,0
0.19,2005,0,0,9.95,61,1,1,0,0,1,0,0,0
0.19,2005,1,0,17.95,70,1,1,1,1,1,0,0,1
0.19,2005,1,0,17.95,66,1,1,0,0,1,0,0,0
0.18,2005,0,0,12.95,65,1,1,0,0,1,0,0,1
0.18,2005,0,0,11.95,56,1,1,0,1,1,0,0,1
0.18,2005,1,0,14.95,84,1,1,1,1,1,0,0,1
0.17,2005,1,1,6.95,65,1,1,0,0,1,0,0,0
0.16,2005,0,0,17.95,38,1,1,0,0,1,0,0,1
0.16,2005,0,0,15.95,88,1,1,0,0,1,0,0,0
0.15,2005,1,0,17.95,50,1,1,0,0,1,0,0,0
0.15,2005,0,0,8.95,63,1,1,0,0,1,0,0,0
0.15,2005,0,0,17.95,74,1,1,1,0,1,0,0,0
0.14,2005,0,0,14.95,70,1,1,0,0,1,0,0,0
0.14,2005,0,0,14.95,75,1,1,0,0,1,0,0,0
0.13,2005,0,0,12.95,72,1,2,1,0,1,0,0,0
0.13,2005,1,0,22.95,66,1,1,0,1,1,0,0,0
0.13,2005,1,0,12.95,83,1,1,0,0,1,0,0,0
0.13,2005,1,0,14.95,54,1,1,1,0,1,0,0,0
0.13,2005,1,0,9.95,65,1,1,0,0,1,0,0,1
0.13,2005,1,0,14.95,72,0,1,0,0,0,0,0,0
0.12,2005,0,0,17.95,68,1,1,0,0,1,0,0,0
0.12,2005,0,0,14.95,59,1,1,0,0,1,0,0,0
0.12,2005,1,0,9.95,66,1,1,0,1,1,0,0,1
0.12,2005,0,1,12.95,51,1,1,0,0,1,0,0,0
0.12,2005,0,0,14.95,66,1,1,0,0,1,0,0,0
0.12,2005,1,0,14.95,73,1,1,0,1,1,0,0,1
