Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
Super Mario 64 DS,Action,Nintendo DS,4.69,2004,1,1,24.95,85,0,1,0,0,1,0,0,0
Lumines: Puzzle Fusion,Strategy,Sony PSP,0.56,2004,0,0,14.95,89,0,1,1,0,1,0,0,0
WarioWare Touched!,"Action, Racing / Driving, Sports",Nintendo DS,0.54,2004,1,0,22.95,81,0,2,0,0,1,0,0,0
Hot Shots Golf: Open Tee,Sports,Sony PSP,0.49,2004,0,0,12.95,81,0,1,1,0,1,0,0,0
Spider-Man 2,Action,Nintendo DS,0.45,2004,1,0,14.95,61,0,1,0,0,1,0,0,1
The Urbz: Sims in the City,Simulation,Nintendo DS,0.41,2004,1,0,12.95,67,0,1,0,0,1,0,0,1
Ridge Racer,Racing / Driving,Sony PSP,0.36,2004,1,0,19.95,88,0,1,1,0,1,0,0,1
Metal Gear Ac!d,Strategy,Sony PSP,0.34,2004,0,0,17.95,75,0,1,1,0,1,0,0,0
Madden NFL 2005,Sports,Nintendo DS,0.25,2004,1,0,8.95,68,0,1,0,1,1,0,0,0
PokÇmon Dash,Racing / Driving,Nintendo DS,0.22,2004,0,0,24.95,46,0,1,0,0,1,0,0,0
Dynasty Warriors,"Action, Adventure, Role-Playing (RPG)",Sony PSP,0.2,2004,1,0,14.95,62,0,1,0,0,1,0,0,0
Feel the Magic XY/XX,"Action, Adventure, Racing / Driving, Sports",Nintendo DS,0.16,2004,0,0,8.95,75,0,1,0,0,1,0,0,0
Ridge Racer DS,Racing / Driving,Nintendo DS,0.15,2004,1,0,9.95,63,0,1,0,1,1,0,0,1
Darkstalkers Chronicle: The Chaos Tower,Action,Sony PSP,0.14,2004,0,1,14.95,74,0,1,1,0,1,0,0,0
Ape Escape Academy,"Action, Sports",Sony PSP,0.13,2004,1,0,14.95,51,0,4,1,0,1,0,0,0
Polarium,Strategy,Nintendo DS,0.12,2004,0,0,8.95,73,0,1,0,1,1,0,0,0
Asphalt: Urban GT,"Racing / Driving, Simulation",Nintendo DS,0.11,2004,0,0,14.95,60,0,1,0,0,1,0,0,0
Ping Pals,Action,Nintendo DS,0.11,2004,0,0,7.95,28,0,1,0,0,1,0,0,0
Zoo Keeper,Action,Nintendo DS,0.1,2004,0,0,14.95,74,0,1,0,0,1,0,0,0
Mr. DRILLER: Drill Spirits,Action,Nintendo DS,0.09,2004,1,0,14.95,72,0,1,0,0,1,0,0,0
Sprung,Adventure,Nintendo DS,0.06,2004,0,0,8.95,48,0,1,0,0,1,0,0,0
Armored Core: Formula Front - Extreme Battle,"Action, Strategy",Sony PSP,0.05,2004,1,0,16.95,66,0,1,1,0,1,0,0,0
Puyo Pop Fever,"Action, Strategy",Nintendo DS,0.04,2004,0,1,19.95,76,0,1,0,0,1,0,0,1
Mario Kart DS,Racing / Driving,Nintendo DS,9.99,2005,1,0,29.95,91,1,1,1,0,1,0,0,0
Nintendogs,Simulation,Nintendo DS,9.72,2005,0,0,26.95,83,1,1,0,0,1,0,0,0
Brain Age: Train Your Brain in Minutes a Day!,Action,Nintendo DS,5.07,2005,0,0,17.95,77,1,1,0,0,1,0,0,0
Brain Age˝: More Training in Minutes a Day!,Action,Nintendo DS,3.65,2005,1,0,17.95,77,1,1,0,0,1,0,0,0
Grand Theft Auto: Liberty City Stories,"Action, Racing / Driving",Sony PSP,2.97,2005,1,0,17.95,88,1,1,1,0,1,0,0,1
Animal Crossing: Wild World,Simulation,Nintendo DS,2.6,2005,1,0,24.95,86,1,1,1,0,1,0,0,0
Big Brain Academy,Action,Nintendo DS,1.77,2005,0,0,16.95,74,1,1,0,0,1,0,0,0
Call of Duty 2,Action,X360,1.69,2005,1,0,17.95,89,0,4,1,0,0,0,0,0
Midnight Club 3: DUB Edition,Racing / Driving,Sony PSP,1.69,2005,1,0,14.95,74,1,1,1,1,1,0,0,1
Need for Speed: Most Wanted 5-1-0,Racing / Driving,Sony PSP,1.67,2005,1,0,14.95,72,1,1,1,0,1,0,0,1
PokÇmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),Nintendo DS,1.22,2005,1,0,14.95,62,1,1,0,0,1,0,0,0
Sonic Rush,Action,Nintendo DS,1.2,2005,1,0,14.95,82,1,1,0,0,1,0,0,0
Star Wars: Battlefront II,Action,Sony PSP,1.09,2005,1,0,16.95,69,1,1,1,1,1,0,0,0
SOCOM: U.S. Navy SEALs - Fireteam Bravo,Action,Sony PSP,1.07,2005,1,0,14.95,82,1,1,1,0,1,0,0,0
Need for Speed: Most Wanted,Racing / Driving,X360,0.95,2005,1,0,17.95,83,0,2,1,0,0,0,0,1
Zoo Tycoon DS,"Simulation, Strategy",Nintendo DS,0.92,2005,0,1,12.95,44,1,1,0,0,1,0,0,0
The Sims 2,"Role-Playing (RPG), Simulation",Nintendo DS,0.83,2005,1,0,17.95,70,1,1,0,0,1,0,0,1
Namco Museum Battle Collection,"Action, Racing / Driving",Sony PSP,0.77,2005,0,1,17.95,73,1,1,1,0,1,0,0,0
Mario & Luigi: Partners in Time,"Action, Role-Playing (RPG)",Nintendo DS,0.75,2005,1,0,29.95,86,1,1,0,0,1,0,0,0
Madden NFL 06,Sports,Sony PSP,0.75,2005,1,0,7.95,75,1,1,1,1,1,0,0,1
Need for Speed Underground: Rivals,Racing / Driving,Sony PSP,0.73,2005,1,0,17.95,74,1,4,1,1,1,0,0,0
Twisted Metal: Head-On,"Action, Racing / Driving",Sony PSP,0.73,2005,1,0,14.95,79,1,1,1,0,1,0,0,1
Perfect Dark Zero,Action,X360,0.7,2005,1,0,17.95,79,0,4,1,0,0,0,0,0
Super Monkey Ball: Touch & Roll,Action,Nintendo DS,0.7,2005,1,0,15.95,63,1,1,0,0,1,0,0,0
Super Princess Peach,Action,Nintendo DS,0.7,2005,0,0,29.95,75,1,1,0,0,1,0,0,0
Burnout Legends,"Action, Racing / Driving",Sony PSP,0.68,2005,1,0,14.95,86,1,1,1,0,1,0,0,1
Madden NFL 06,Sports,X360,0.62,2005,1,0,4.95,74,0,2,1,1,0,0,0,1
Clubhouse Games,Strategy,Nintendo DS,0.61,2005,0,0,17.95,83,1,1,1,0,1,0,0,0
ATV Offroad Fury: Blazin' Trails,"Racing / Driving, Sports",Sony PSP,0.56,2005,0,0,12.95,63,1,4,1,1,1,0,0,0
Untold Legends: Brotherhood of the Blade,"Action, Role-Playing (RPG)",Sony PSP,0.56,2005,0,0,12.95,68,1,1,1,0,1,0,0,0
Tony Hawk's Underground 2: Remix,Sports,Sony PSP,0.49,2005,1,0,14.95,83,1,1,1,0,1,0,0,0
The Sims 2,"Simulation, Strategy",Sony PSP,0.46,2005,1,0,14.95,65,1,1,1,0,1,0,0,1
WipEout Pure,"Action, Racing / Driving",Sony PSP,0.45,2005,1,0,12.95,88,1,1,1,0,1,0,0,0
NBA Live 06,Sports,Sony PSP,0.42,2005,1,0,9.95,80,1,1,1,1,1,0,0,1
WWE Smackdown vs. Raw 2006,"Action, Sports",Sony PSP,0.38,2005,1,0,14.95,81,1,4,0,0,1,0,0,1
Dead or Alive 4,Action,X360,0.38,2005,1,0,17.95,85,0,4,1,0,0,0,0,0
Phoenix Wright: Ace Attorney,"Adventure, Simulation",Nintendo DS,0.38,2005,0,0,24.95,81,1,1,0,0,1,0,0,0
Spider-Man 2,Action,Sony PSP,0.38,2005,1,0,14.95,67,1,1,0,1,1,0,0,0
