Country,Population,Rural,GNI,Imports,Exports,Military,Cell,Fertility,Measles,InfMort,LifeExp,PM2.5,CO2,EnergyUse,Renewable,Debt,EU
Afghanistan,42239854,73.067,360,37.06956358,14.3421528,NA,56.55443457,4.523,68,44.8,62.879,46.08709367,0.13800072,2.94,20,NA,no
Albania,2745972,35.397,6770,44.70882135,31.30916076,1.584880924,92.31992041,1.376,86,8.4,76.833,15.70700364,1.615083618,2.27,41.9,56.30232287,no
Algeria,45606480,24.732,4490,23.38839519,23.88250782,4.779438286,106.4235366,2.829,79,18.7,77.129,25.55265583,3.943578663,5.61,0.1,3.73370668,no
American Samoa,43914,12.765,NA,92.53333333,44.26666667,NA,NA,NA,NA,NA,NA,6.715147395,0.002258713,NA,0.4,NA,no
Andorra,80088,12.226,50080,NA,NA,NA,118.6729762,NA,98,2.6,NA,9.080280591,NA,1.89,18.4,NA,no
Angola,36684202,31.312,1870,26.71922262,47.74527598,1.328722328,44.42373173,5.209,37,45.7,61.929,25.1452382,0.567189507,3.1,52.9,60.87501945,no
Antigua and Barbuda,94298,75.668,18710,54.13940407,46.98347939,NA,197.3825359,1.58,99,8.1,79.236,19.69826956,2.961722641,4.83,0.9,NA,no
Argentina,46654581,7.537,11590,14.93343631,17.99658794,0.411211299,130.4550081,1.876,83,8.4,76.064,14.9081738,3.980488303,3.39,9.2,40.00369108,no
Armenia,2777970,36.261,5960,43.76344883,35.90643999,4.317106672,128.961359,1.575,95,9.2,73.372,30.57963348,2.275335564,3.91,9.1,78.83895243,no
Aruba,106277,55.746,33410,70.83037832,69.06970883,NA,132.3496283,1.179,NA,NA,74.992,NA,4.275447414,3.13,8.8,NA,no
Australia,26638544,13.383,60820,17.72554085,21.97681939,1.898824348,104.5172138,1.63,96,3.2,83.2,8.251717461,15.11326477,4.1,12.3,NA,no
Austria,9132383,40.47,55720,55.03312075,55.9518373,0.772607157,121.9694798,1.41,95,2.6,81.09268293,10.93351368,6.765705385,2.86,36,NA,yes
Azerbaijan,10112555,42.423,5670,29.79811852,46.48874717,4.545968537,104.8878056,1.67,93,16.1,73.488,21.72699998,3.661062246,4.73,1.3,20.80315495,no
"Bahamas, The",412623,16.375,31030,43.45451187,29.49713693,NA,97.42269052,1.38,80,11.2,74.358,18.93939187,3.52745473,2.87,1.1,NA,no
Bahrain,1485509,10.131,27710,70.19172058,89.68125996,3.172137055,131.4487123,1.797,99,5.6,79.246,58.49506298,25.78063391,9.23,0,NA,no
Bangladesh,172954319,59.527,2820,17.0612258,10.6627789,1.128820105,108.9094426,1.95,97,24.1,73.698,42.38137624,0.6371728,1.93,25,20.27696236,no
Barbados,281995,68.575,20210,39.64100487,30.22779821,NA,112.6006401,1.634,85,10.1,77.706,23.73096578,2.393878602,4.01,5.5,NA,no
Belarus,9178298,19.269,7230,65.18241284,70.83203772,1.203282568,122.7801287,1.495,98,1.9,73.11146341,14.60899038,6.221386897,6.18,8.2,56.7857224,no
Belgium,11822592,1.811,53890,86.13759523,87.90139849,1.179737081,101.1083743,1.53,96,3.1,81.69756098,11.21606647,7.73715036,3.86,11.7,NA,yes
Belize,410825,53.392,6630,51.48641337,47.66058995,0.861167114,65.9948854,1.989,81,9.4,70.962,28.65180702,0.664738743,4.78,26.6,54.30781455,no
Benin,13712828,49.9,1400,27.13605466,20.91880618,0.557461261,97.96018203,4.895,68,53.6,59.954,51.0478242,0.720407247,4.79,54.5,42.36251536,no
Bermuda,63489,0,134640,23.51910841,48.68356424,NA,105.9437563,1.3,NA,NA,81.571,7.336000525,4.992530859,1.52,0.9,NA,no
Bhutan,787424,55.65,3590,48.38370973,29.19874171,NA,100.0671395,1.398,97,20.1,72.229,23.94565764,2.188496463,9.72,81.8,NA,no
Bolivia,12388571,28.814,3490,31.19605065,27.82534591,1.483731933,99.62307127,2.584,69,19.6,64.928,22.87945907,1.7964089,3.89,12.8,37.27764645,no
Bosnia and Herzegovina,3210847,49.731,7650,53.91258714,42.57332144,0.81044224,113.9969422,1.346,58,5.2,75.293,26.60195327,6.750123549,5.89,36.6,53.04764053,no
Botswana,2675352,27.133,7420,46.84428779,41.91084364,2.743959563,160.7369816,2.754,90,31.2,65.913,18.90575499,3.122728393,2.68,27.4,9.955945263,no
Brazil,216422446,12.212,8240,18.54690039,19.10943037,1.053422011,102.48887,1.626,81,12.5,73.425,12.1793252,2.167864088,3.96,46.5,31.1117019,no
British Virgin Islands,31538,50.252,NA,NA,NA,NA,120.9465973,1.015,NA,11.6,76.373,NA,2.066762498,NA,1.3,NA,no
Brunei Darussalam,452524,20.851,31410,66.95420157,80.16891081,2.369647407,135.501254,1.764,97,8.5,74.551,7.597265034,20.88119875,6.33,0,NA,no
Bulgaria,6430370,23.299,13350,59.57356908,61.40108431,1.508123455,114.7677533,1.78,91,5,74.36097561,17.14742361,7.749814117,4.72,20.4,54.01748527,no
Burkina Faso,23251485,67.48,850,29.70525245,32.88771005,3.094767045,111.6631328,4.665,88,50.1,59.766,58.4706762,0.256706408,5.43,71.2,57.57549264,no
Burundi,13238559,85.216,240,23.81837,5.00029,2.760414578,61.67128229,4.98,89,36.4,61.977,29.65413451,0.07170135,7.48,83.1,28.4632314,no
Cabo Verde,598682,32.018,4060,53.60526027,23.84979836,0.548076282,100.3820215,1.879,95,10.6,74.722,42.32252209,1.711205785,2.45,22.6,91.49125191,no
Cambodia,16944826,74.43,1690,62.35698943,66.75446212,2.099642325,119.9575768,2.322,83,20.3,69.896,24.14360228,1.050755369,4.96,52.4,80.38400182,no
Cameroon,28647293,40.685,1630,20.2302274,16.51564102,0.949154228,79.9676844,4.383,65,47,60.958,39.8126251,0.361109352,4.23,79.2,35.10750573,no
Canada,40097761,18.138,53300,31.20781146,31.21635296,1.236655913,88.09065504,1.33,92,4.3,81.29560976,6.565669944,14.94830537,6.55,23.8,NA,no
Cayman Islands,69310,0,68790,NA,NA,NA,146.7652929,NA,NA,NA,NA,NA,4.471225221,1.93,0,NA,no
Central African Republic,5742315,56.386,480,30.93166,13.22746,1.696436291,33.55228751,5.918,41,73.5,54.477,34.43341845,0.049487878,8.41,90.9,40.5775418,no
Chad,18278568,75.634,680,44.23464962,38.75012725,2.925486842,60.22303015,6.215,56,64.1,52.997,49.13884841,0.119074789,4.34,69.9,27.73284805,no
Channel Islands,175346,68.841,NA,NA,NA,NA,NA,1.469,NA,NA,81.583,NA,NA,NA,NA,NA,no
Chile,19629590,11.988,15430,32.86486375,31.9735835,1.833981471,136.3134058,1.539,94,5.4,79.519,23.2750668,4.736786611,3.46,24.2,NA,no
China,1410710000,35.43,12890,17.35801703,19.94397383,1.595380743,121.5382526,1.175,99,4.8,78.587,34.81052372,8.970154832,6.3,15.2,13.4419127,no
Colombia,52085168,17.646,6630,23.86214044,16.19700595,3.079107754,145.6931676,1.692,88,10.6,73.659,14.18325149,1.705474015,2.33,29.7,55.79014011,no
Comoros,852075,69.868,1610,31.47040711,10.80732162,NA,103.8731734,3.912,86,38.2,63.68,11.93327241,0.409788067,4.27,41.2,29.52856697,no
"Congo, Dem. Rep.",102262808,52.556,610,40.09548186,40.38582957,0.578894367,48.89330021,6.106,56,60.1,59.743,26.64948332,0.035873067,12.51,96.3,15.16497001,no
"Congo, Rep.",6106869,30.812,2290,32.7096323,52.83657086,1.847189156,96.78757313,4.095,65,31.2,63.053,28.57374995,1.245439185,6.72,71.4,53.43987404,no
Costa Rica,5212173,17.378,12920,34.60528528,36.17635703,NA,152.0081561,1.522,90,6.9,77.32,14.30757125,1.661587364,1.99,34.2,60.74448891,no
Cote d'Ivoire,28873034,46.851,2620,22.81776494,22.29626784,0.889183595,162.1701041,4.342,65,52.4,58.916,49.49778273,0.514617226,3.3,58.2,47.11452378,no
Croatia,3853200,41.425,19650,52.07940444,49.35389898,2.167490516,108.4252864,1.53,90,3.9,77.57560976,16.1208593,4.467480245,2.91,34.1,NA,yes
Cuba,11194449,22.477,NA,45.13021308,34.89357191,NA,63.10466641,1.449,99,6.2,78.155,21.23672428,2.209273816,1.35,20.9,NA,no
Curacao,147862,10.977,20590,NA,NA,NA,88.26771323,1.3,NA,NA,NA,NA,NA,10.39,2.8,NA,no
Cyprus,1260138,33.013,31520,85.45051816,89.40908943,1.814796652,148.7380631,1.311,86,2.7,81.889,13.50870189,5.961143854,2.45,15.6,NA,yes
Czechia,10873689,25.448,26140,69.76677754,72.7282341,1.358063832,126.4124254,1.617746603,97,2.1,79.02926829,14.11107114,9.514952889,4.16,17.2,NA,yes
Denmark,5946952,11.505,73520,52.00926439,58.70294413,1.418960371,125.7822877,1.55,95,3.1,81.30487805,9.069839273,4.93962684,1.96,39.5,NA,yes
Djibouti,1136455,21.448,3370,120.9981691,143.0220844,NA,44.26176127,2.757,50,44.1,62.859,35.92433048,0.679038836,2.08,26.6,88.47765367,no
Dominica,73040,27.994,8470,NA,NA,NA,85.85731647,1.588,83,30.8,72.981,20.66729982,0.945873489,3.03,8.8,66.14707954,no
Dominican Republic,11332972,15.554,9070,30.98216499,21.75270208,0.717637598,87.56486177,2.247,91,26.8,74.17,19.82674404,2.08899937,2.11,14.8,44.27424619,no
Ecuador,18190484,35.208,6520,26.14648913,27.00470957,2.15522187,94.33558884,2.003,74,10.5,77.894,16.65702108,2.561352147,3.26,18.9,53.61537359,no
"Egypt, Arab Rep.",112716598,56.9,4100,19.29582327,10.56115022,1.061810044,94.68027811,2.878,96,15.5,70.159,54.85870565,2.396261404,3.06,6.1,35.38175691,no
El Salvador,6364943,24.607,4670,53.06358059,28.78149539,1.320394102,175.3370318,1.785,65,10.2,71.475,20.02871445,1.258192359,3.26,21.9,69.55534967,no
Equatorial Guinea,1714671,25.552,4870,31.83909755,45.12755105,1.097262085,49.96671696,4.17,53,55.1,61.19,35.37905218,3.017419464,5.18,5.2,NA,no
Eritrea,3748901,56.733,NA,NA,NA,NA,49.74709362,3.786,93,28,66.604,32.35152064,0.218429156,6.37,80.7,NA,no
Estonia,1366188,30.19,27200,81.27216989,80.26909523,2.086665791,149.0807939,1.41,82,1.5,77.94390244,6.14573291,8.042391981,3.73,38,NA,yes
Eswatini,1210822,75.21,4400,44.89716531,44.05489243,1.645121394,120.0524881,2.785,83,39.7,56.36,18.78312114,1.122521158,3.91,65.4,27.5097991,no
Ethiopia,126527060,76.843,1020,16.71333768,7.631701645,0.903892014,53.62352623,4.063,56,33.9,65.645,27.30532765,0.171072402,6.79,90.6,22.66859247,no
Faroe Islands,53270,57.013,74420,52.13448333,52.61316461,NA,111.9592346,2.0497,NA,NA,83.3,NA,0.039555472,NA,5.1,NA,no
Fiji,936375,41.287,5390,54.47188033,27.25332827,1.395813198,107.2344015,2.462,99,23.6,68.312,12.41879817,1.820780713,2.27,29.7,53.80203459,no
Finland,5584264,14.227,54730,39.44403664,39.47754763,1.721682903,129.1548109,1.32,94,1.9,81.18780488,4.895180902,6.717780402,5.15,50.2,NA,yes
