ClassProb,Status,Year,Division,Gender,HtCm,Hand,Haircut,Exercise,Coursework,Web,TV,Social,Econ,Animal,Friends,Pulse
1,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Male,191,Right handed,9,700,120,40,0,4 = Moderate,4 = Moderate,Lion,3,50
0.65,Undergraduate,4 = senior or 4th year grad,Life Sciences,Male,190,Right handed,42,300,300,300,15,5,5,Lion ,10,62
1,Undergraduate,2 = sophomore or 2nd year grad,Life Sciences,Female,162.5,Right handed,5,65,120,120,20,5,5,Owl,5,90
0.9,Undergraduate,3 = junior or 3rd year grad,Humanities,Trans-gender,173,Right handed,40,80,180,360,60,6,5,Fox,15,68
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,160,Right handed,0,30,180,60,10,6,4 = Moderate,dolphin,4,82
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,165,Right handed,31,120,180,120,45,6,5,Chameleon,15,120
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,165,Right handed,100,90,180,180,0,6,5,octopus,5,67
1,Graduate,1 = freshman or first year grad,Social Sciences,Female,167,Right handed,40,90,180,200,0,6,3,A bird!,5,60
1,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Female,158,Right handed,20,60,150,60,15,6,5,wolf,3,86
1,Undergraduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,165,Right handed,30,40,180,60,20,4 = Moderate,4 = Moderate,elephant,4,100
90,Graduate,2 = sophomore or 2nd year grad,"Physical Sciences, Engineering, Math",Female,172,Right handed,60,90,180,180,45,4 = Moderate,5,whale,5,66
100,Undergraduate,2 = sophomore or 2nd year grad,Social Sciences,Male,175,Right handed,30,180,360,120,0,4 = Moderate,3,Eagle,4,60
0.8,Graduate,1 = freshman or first year grad,Social Sciences,Female,174,Right handed,30,360,180,70,30,4 = Moderate,5,Cat ,7,52
1,Undergraduate,4 = senior or 4th year grad,Life Sciences,Female,165.1,Right handed,330,100,60,30,60,5,5,dog,2,85
