CASEID,MARCOHAB,MB2,MSCALCA,ST1U,RSEX1,CSEX1,RSEX2,CSEX2,INCNEED1,INCNEED2,INCCHNG,RINCHNG,M484,ETHRACE,M2BP01,RELKID,NUMKID2,EDUCAT,MEDUCAT,FEDUCAT,MANEDUC,FEMEDUC,MUCOMPED,CUCOMPED,FHURT,FHURT2,MISSVIC1,MISSVIC2,FEMVICW1,FEMVICW2,SERVIO1,SERVIO2,MBL5YR1,MBL5YR2,MN1,CHNGDIS,DEBTSW1,DEBTSW2,RDEBTSW1,RDEBTSW2,DEBTLOAD,DEBTCHG,MFINSAT,FFINSAT,MFINWORR,FFINWORR,MJOBSPEL,RMJOBSPE,MJOBSTRN,E209A,E209B,E210A,E210B,S160A,S160B,S161A,S161B,MT211,MT212,MT213,MT214,CT211,CT212,CT213,CT214,MANDRINK,WOMDRINK,MDRKDAY,WDRKDAY,MNUMDRK,WNUMDRK,M5ADAY,W5ADAY,PMDRINK,PWDRINK,MPDRKDAY,WPDRKDAY,MPNUMDRK,WPNUMDRK,MP5ADAY,WP5ADAY,MRDRINK,WRDRINK,MDAYS,WDAYS,MAVEDRK,WAVEDRK,MALE5S,FEMALE5S,E208,S159,DRINKPRB,MDRINK1,WDRINK1,BDRINK1,ZSNGPNT1,ZPNWTE1,ZUNEMP1,ZPUBAS1,ZPOV1,CONDIS1,CNDIS110,ZSNGPNT2,ZPNWTE2,ZUNEMP2,ZPUBAS2,ZPOV2,CONDIS2,DISADV1,CNDIS210,DISADV2,TRAJECT,SUBSTRN,INCNDW1R,INCNDW2R,HHINCW2,HHINCW1,CNDIS13,CNDIS23,RSUBSTRN,DESIST,INITIATE,FAC1_1
    3, 1, 1, 9, 1,1,2,1,2,999.99999,  4.63596, 999.99999,99, 1,1,51, 0, 0,12, 12,999, 12, 11, 12, 11,0,0, 0, 0,0,0, 0, 0,0.3634,0.3634, 1,2,3,0,1,0,-3,-1, 7, 4, 3, 1, 0,0, 4,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0, 0.88696, 1.76901, 0.30950, 1.37505, 1.02680, 1.0735, 9, 1.13011, 2.04490, 0.42594, 1.62653, 1.25155, 1.2958,1,10,1,1, 0.1324,99, 4,2,9,3,3,1,9,0,-0.72542
    8, 1,99,99,12,1,2,8,8,  2.46942, -1.00000, 999.99999,99, 2,2,71, 0,99,12, 12,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.4767,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.57051,-0.63419,-1.14490,-0.89277,-0.99307,-0.8471, 1, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 4,99,9,2,1,9,9,9,9, 9.99999
   29, 1, 3, 9, 3,2,8,2,8,999.99999,  1.50389, 999.99999,99, 1,1,55, 0, 2, 9,999,  9,999,  9,  9,999,0,9, 0,-1,0,9, 0,-1,0.3473,0.3473, 1,2,0,0,0,0, 0, 0,-1, 7,-1, 5,-1,9,-1,2,1,2,2,9,9,9,9, 2, 99, 99, 99,99,999,999,999,99, 0,999, 99,999, 99,999, 99,-1,99, -1,999, -1,999, -1,999,99, 0, -1,  0, -1,  0, -1,  0, 1, 9,1,1,0,0, 1.00946, 3.05433, 0.74645, 0.57536,-0.49370, 0.9784, 9, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,1,99,9,9,99.9999,99, 3,2,9,3,9,9,9,9, 9.99999
   40, 1,99,99,12,1,2,8,8,  1.54026, -1.00000, 999.99999,99, 2,2,74, 0,99,12, 12,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.2535,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.87021, 0.86312,-0.50731,-0.01556, 0.21288,-0.0634, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 3,99,9,2,2,9,9,9,9, 9.99999
   45, 1, 1, 9, 1,1,2,1,2,  4.98432,  1.22686,  -3.75746,-1, 2,2,27, 0, 4,12, 12,999, 12, 13, 12, 13,0,0, 0, 0,0,0, 0, 0,0.3210,0.5237, 3,0,3,2,1,1,-1,-1, 4, 5, 4, 3, 0,0, 6,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0, 0.71196,-0.15139, 0.34832,-0.06849,-0.69531, 0.0290, 7,-0.32610,-0.63737, 0.31478,-0.25789,-0.01696,-0.1847,0, 6,0,1,-0.1811, 4, 3,2,2,2,2,0,9,0,-0.72542
   53, 1, 1, 9, 1,2,1,2,1,  2.65527,  5.30793,   2.65266, 1, 2,2,30, 2, 2,12,999, 12, 12, 12, 12, 12,0,0, 0, 0,0,0, 0, 0,0.3210,0.3210, 1,0,1,2,0,1, 1, 1, 4, 4, 4, 3, 0,0, 4,6,6,6,6,6,6,6,6, 1,  4,  4,  2, 1,  2, 10,  2,99, 1,999,  4,999,  4,999,  2, 1,99,  2,999, 10,999,  2,999, 1, 1,  2,  4, 10,  4,  2,  2, 2, 2,0,0,0,0, 0.71196,-0.15139, 0.34832,-0.06849,-0.69531, 0.0290, 7, 0.93394,-0.03068, 0.46668, 0.04693,-0.62694, 0.1580,0, 8,1,1,-0.0309, 4, 5,3,2,2,3,0,9,0, 1.48960
   58, 1, 1, 9, 1,2,8,2,1,  3.41347,  6.17350,   2.76002, 1, 2,2,47, 1, 0,12,999, 12,  3, 14, 14,  3,8,0,-1, 0,9,0,-1, 0,0.3461,0.3461, 2,1,1,4,0,1, 3, 1, 6, 5, 5, 4, 0,0, 8,6,6,6,6,9,9,9,9, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 9, 9,9,9,9,9,-0.42255, 0.39193,-0.43018, 0.14843, 0.08548,-0.0454, 7,-0.33775, 0.55655,-0.35029, 0.28430, 0.22476, 0.0755,0, 8,1,9,-0.9317, 4, 5,3,2,2,3,0,9,9,-0.72542
   61, 1,99,99,12,2,1,8,8,  1.98020, -1.00000, 999.99999,99, 2,2,31, 2,99,10,999, 10,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.5013,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,99,-1,999, -1,999, -1,999, -1,-1,99, -1,999, -1,999, -1,999,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0, 0.09936, 0.03243,-0.78726, 0.08277,-0.03724,-0.1220, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 3,99,9,2,2,9,9,9,9, 9.99999
   66, 1, 3, 9, 3,1,2,1,8,  1.00933, -1.00000, 999.99999,99, 1,1,26, 3, 0,12, 12,999, 13,999, 13,999,0,9, 1,-1,1,9, 1,-1,0.5013,0.3770, 3,9,3,2,1,1,-1,-1, 4,-1, 1,-1, 1,0,-1,6,6,6,6,6,6,6,6, 1,  2,  1,  0,99,999,999,999, 1,99,  2,999,  1,999,  0,999,99,-1,999, -1,999, -1,999, -1, 1,99,  2, -1,  1, -1,  0, -1, 2, 2,0,0,0,0, 0.09936, 0.03243,-0.78726, 0.08277,-0.03724,-0.1220, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 3,99,9,2,2,9,9,9,9, 9.99999
   74, 1,99,99,12,1,2,8,8,  1.03198, -1.00000, 999.99999,99, 2,2,23, 1,99,12, 12,999,999,999,999,999,0,9, 3,-1,1,9, 2,-1,0.5013,9.9999,99,9,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0, 0.09936, 0.03243,-0.78726, 0.08277,-0.03724,-0.1220, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 3,99,9,2,2,9,9,9,9, 9.99999
