Console,Title,USSales,YearReleased,Publisher,Genre,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
Nintendo DS,Super Mario 64 DS,4.69,2004,"Nintendo Australia Pty., Ltd., Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,1,24.95,85,0,1,0,0,1,0,0,0
Sony PSP,Lumines: Puzzle Fusion,0.56,2004,"Bandai Co., Ltd., Ubisoft Entertainment SA, Ubisoft, Inc.",Strategy,0,0,14.95,89,0,1,1,0,1,0,0,0
Nintendo DS,WarioWare Touched!,0.54,2004,"Nintendo Australia Pty., Ltd., Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Racing / Driving, Sports",1,0,22.95,81,0,2,0,0,1,0,0,0
Sony PSP,Hot Shots Golf: Open Tee,0.49,2004,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated",Sports,0,0,12.95,81,0,1,1,0,1,0,0,0
Nintendo DS,Spider-Man 2,0.45,2004,"Activision Asia-Pacific, Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited, ATVI France SARL, Taito Corporation",Action,1,0,14.95,61,0,1,0,0,1,0,0,1
Nintendo DS,The Urbz: Sims in the City,0.41,2004,"Electronic Arts, Inc.",Simulation,1,0,12.95,67,0,1,0,0,1,0,0,1
Sony PSP,Ridge Racer,0.36,2004,"Namco Hometek Inc., Namco Limited, SCEE",Racing / Driving,1,0,19.95,88,0,1,1,0,1,0,0,1
Sony PSP,Metal Gear Ac!d,0.34,2004,"Konami Corporation, Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Strategy,0,0,17.95,75,0,1,1,0,1,0,0,0
Nintendo DS,Madden NFL 2005,0.25,2004,"Electronic Arts, Inc.",Sports,1,0,8.95,68,0,1,0,1,1,0,0,0
Nintendo DS,Pok‚mon Dash,0.22,2004,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Racing / Driving,0,0,24.95,46,0,1,0,0,1,0,0,0
Sony PSP,Dynasty Warriors,0.2,2004,"KOEI Co., Ltd., KOEI Corporation, KOEI Ltd.","Action, Adventure, Role-Playing (RPG)",1,0,14.95,62,0,1,0,0,1,0,0,0
Nintendo DS,Feel the Magic XY/XX,0.16,2004,"SEGA Corporation, SEGA Europe Ltd.","Action, Adventure, Racing / Driving, Sports",0,0,8.95,75,0,1,0,0,1,0,0,0
Nintendo DS,Ridge Racer DS,0.15,2004,Namco Hometek Inc.,Racing / Driving,1,0,9.95,63,0,1,0,1,1,0,0,1
Sony PSP,Darkstalkers Chronicle: The Chaos Tower,0.14,2004,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,1,14.95,74,0,1,1,0,1,0,0,0
Sony PSP,Ape Escape Academy,0.13,2004,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated","Action, Sports",1,0,14.95,51,0,4,1,0,1,0,0,0
Nintendo DS,Polarium,0.12,2004,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,0,0,8.95,73,0,1,0,1,1,0,0,0
